material;descricao;categoria
31_000024765;PORTA FERR. E24X237 STUPR -11 YU140060;Porta Ferramentas
31_000025809;PORTA FERR. GHIR 20SC-3 MD;Porta Ferramentas
31_000027009;PORTA FERR. MDØ25x191DIFF GM 0P1(7172804;Porta Ferramentas
31_000027748;PORTA FERR. RT-500.11-03222576;Porta Ferramentas
31_000028772;PORTA FERRAME. GYXR2525MX06 OP2 09193735;Porta Ferramentas
31_000028771;PORTA FERRAMENTA 2SOMX GEM PU 08193727;Porta Ferramentas
31_000025804;PORTA FERRAMENTA EF-40-20;Porta Ferramentas
31_000028720;PORTA FERRAMENTA KAVH20-STLPR11;Porta Ferramentas
31_000019966;DISCO DE CORTE 12'' X304,8X3,2X25,4ALCAR;Abrasivos
31_000006112;INSERTO PENTA 24N247 JO20 IC908;Insertos
31_000018867;INSERTO SOMX 070305-DT IC808;Insertos
31_000020767;INSERTO TGMF 304 IC808 - ISCAR;Insertos
31_000000188;LIMA AGULHA PARALELA B-140MM;Serra e Lima
31_000000187;MACHO MAQ.5/16+0,03+0,05 D-2183 (96607);Rotativas
31_000000328;"REBOLO 44,45X4 1.3/4X1/8"""" DR P.MONTADA";Abrasivos
31_000024821;PORTA F S32S3CCL06 2F03/G05743 09151863;Porta Ferramentas
31_000024541;BROCA MD 3C Ø5,88X5X6,082X42X6X80L FUT;Rotativas
31_000023722;CALÇO LLSTP32;Acessórios de torno
31_000028483;CARACOL 20HE17/2;Caracol e Fell
31_000005481;PORTA FERR. GHIL-20- 3- ISCAR;Porta Ferramentas
31_000026109;PORTA FERR. MTFNL 2525 M16Z;Porta Ferramentas
31_000001899;PORTA FERR.S20S SCLCL-09M 82 005 071;Porta Ferramentas
31_000001900;PORTA FERR.S20S SCLCR-09M;Porta Ferramentas
31_000010264;PORTA FERR.S25S MTLNR- 16W;Porta Ferramentas
31_000016150;PORTA FERR.SVJNL 2525K-12F;Porta Ferramentas
31_000014760;PORTA FERR.SVJNR 2525K-12F;Porta Ferramentas
31_033103494;REBOLO RETO 203,2X25,4X31,75 38A60KVS;Abrasivos
31_000016859;LOGOTIPO MARC. FI-001-CT (2H26340);Logotipo
31_000014726;PORTA FER. S16R STFCR-11 45° (820028633);Porta Ferramentas
31_000019046;BROCA ESP. DR210 - 042 - 25 - 07 -2D -N;Rotativas
31_000011859;BRUNIDOR SINT. BOR. MSØ30 5x7,8x30;Brunidores
31_000007111;CARACOL 40HC63/4;Caracol e Fell
31_000024502;CARACOL 40HC63/6;Caracol e Fell
31_003013793;HASTE BRUNIR D.19,3 4 ALOJ. ANEL P/MOLA;Brunidores
31_000019499;INSERTO AOMT 030204 - N - 45DT IC1008;Insertos
31_000010021;PARAFUSO SR 14-591 (IBR 036);Acessórios de torno
31_000028752;PINÇA FIXAÇÃO P/BARRA REDONDA DIAM 33,34;Outros
31_000028753;PINÇA FIXAÇÃO P/BARRA REDONDA DIAM 36,51;Outros
31_000006113;PORTA FERR.PCHR 25-24;Porta Ferramentas
31_000020766;PORTA FERR.TGDR 2525-3M;Porta Ferramentas
31_000024615;INSERTO SCGX070308-P2,DP3000;Insertos
31_000022341;INSERTO SCMT 09T308-MM MC7025;Insertos
31_000024614;INSERTO SPGX0903-C1,T400D;Insertos
31_000024541-R;BROCA MD 3C Ø5,88X5 (24541-AFIADA);Rotativas
31_000013900-R;BROCA MD.2C D6,28x44 (13900-AFIADA);Rotativas
31_000010082;BROCHA 19 BE 15/5  C/ REVESTIM. BALINIT;Revestimentos
31_000013039;INSERTO ADKT 1505 PDR-HM IC328;Insertos
31_000026682;INSERTO TPMH 160302 SV VP15TF;Insertos
31_000018054;PORTA FERR. 820028278 - A16R SDUCL 07-EX;Porta Ferramentas
31_000019546;DRESSADOR RET EIXO 232 LAPIDADO 4 FACES;Dressadores
31_000022336;GRAMPO DCK2211 P/ DDJNL/R;Acessórios de torno
31_000028856;INSERTO CCMT 060204 LS MP9005;Insertos
31_000016989;INSERTO DNGA 150412 TO 1525 A66N;Insertos
31_000019547;INSERTO VBGW 160408S-01525 L1-B, CBN060K;Insertos
31_000022335;PINO DE ACO - LLP23  p/ DDJNL/R;Acessórios de torno
31_003103294;PORTA FERR S40K MTUNL11 24927 REAFIADO;Porta Ferramentas
31_003103293;PORTA FERR S40K MTUNR11 24926 REAFIADO;Porta Ferramentas
31_000025351;PORTA FERR. A25R DTFNL 16;Porta Ferramentas
31_000025352;PORTA FERR. A25R DTFNR 16;Porta Ferramentas
31_000019233;PORTA FERR. S40K MTUNL-11MB-11143  P/ GM;Porta Ferramentas
31_000019169;PORTA FERR. S40K MTUNR-11 MB11522  P/ GM;Porta Ferramentas
31_000021613;REBOLO 25X40X10 5GT 80 K6 VR1;Abrasivos
31_000008931;REBOLO 35X40X12,7  3SW80J6 V8N;Abrasivos
31_000015973;REBOLO RT-19X19X8,0  5GT80K6VRI;Abrasivos
31_000004923;REBOLO 406x40x127GE3SK80J6V8N(GP-532);Abrasivos
31_000002045;ALARGADOR CHANFRADOR 3C.8401 ITEM 01;Rotativas
31_000027653;BROCA  ESP. DCN 100-015-16A-1.5D;Rotativas
31_000001375;BROCA CONICA AR 10,2MM DIN-345;Rotativas
31_000016857;BROCA DCN 080 - 012 - 12A - 1.5D;Rotativas
31_000026691;BROCA MDØ10,6x10xD17,25x1,3x20x90l ALNOV;Rotativas
31_000000264;BROCA PAR. 6,1mm DIN-340RN RVP DORMER;Rotativas
31_000017740;CALÇO CG0525S MD P/COROA;Acessórios de torno
31_000000095;CARACOL 102HC159/2;Caracol e Fell
31_000026904;CARACOL 102HC159/4;Caracol e Fell
31_000002148;CARACOL 85 HC127/1-A (ASP 2052 90X130);Caracol e Fell
31_000026902;CARACOL 85HC127/4;Caracol e Fell
31_000025893;DRESSADOR CONGLOM. RED12x8 HASTEØ11 1820;Dressadores
31_000018313;FRESA FTR MD Ø11x25xD12x75L XTR 88422084;Rotativas
31_000000170;FRESA TOPO 14MM 802/2 DIN 844  OSG;Rotativas
31_000028160;GRAMPO AMS4 P/ (S1VN 25CN);Acessórios de torno
31_000019500;INSERTO AOMT 060204 - 45DT IC508;Insertos
31_000006154;INSERTO C1603 B;Insertos
31_000024596;INSERTO DCMT11T308-MV VP15TF;Insertos
31_000006115;INSERTO GIQR 8-2,00-010-IC528;Insertos
31_000016858;INSERTO ICP 084  IC908;Insertos
31_000027652;INSERTO ICP 104 IC908;Insertos
31_000026723;INSERTO ICP 106 IC908;Insertos
31_000027590;INSERTO VNMG 160408 MS MP9005;Insertos
31_000000199;"LIMA REDONDA  B-8""  C/ CABO  STARRETT";Serra e Lima
31_000000197;"LIMA TRIANGULAR  B-6""  STARRET";Serra e Lima
31_000027155;LOGOTIPO MARC. MUSASHI Nº 44 2YA01310;Logotipo
31_000014684;LOGOTIPO SETA DRIVE (3H29110/3H69110);Logotipo
31_000028161;PARAFUSO AJS4012T15 P/(AMS4) S1VN 25CN;Acessórios de torno
31_000027271;PARAFUSO H304 1BZ;Acessórios de torno
31_000023363;PORTA FER.SD1C3XCLR/L 2525 (820029352 );Porta Ferramentas
31_000027976;PORTA FERR. 2CC091VN16 2YA02310(10183423;Porta Ferramentas
31_000027589;PORTA FERR. S1VN25CN 2525 (09172987)3H69;Porta Ferramentas
31_000004597;PORTA FERR. S32U SVUBR-16;Porta Ferramentas
31_000006155;PORTA FERRAMENTA CHANFRADOR ST12BC0525;Porta Ferramentas
31_000004192;PORTA FERRAMENTA S2CXCN2035 E06 07172793;Porta Ferramentas
31_000000342;REBOLO 150X106X98/33 DR46I6V15 SEGTO.;Abrasivos
31_000005458;REBOLO 300X40X127 AA46K6V51 RT;Abrasivos
31_000000238;ALAVANCA 174.3-841;Acessórios de torno
31_000014703;BROCA CONICA AR 11,0MM DIN-345  TWILL;Rotativas
31_000028157;BROCA DCN 105 - 016 - 16R - 1.5D;Rotativas
31_003102701;BROCA MD D10,6xCH0,5xD17xCHxD18;Rotativas
31_000004954;BROCA MD DIN-338 Ø8,4x75xD8,5x117L FUT;Rotativas
31_000020115;BROCA MM105 - 013RA -N4R21123 (3H41130);Rotativas
31_000026585;BROCA MN105 - 015RA -N4R8050 (3H69130);Rotativas
31_000006616;INSERTO PENTA 24N300 J040 IC908;Insertos
31_000025621;LOGOTIPO 3.5mm 3H32110-FI-001-CT;Logotipo
31_000012248;LOGOTIPO 3H17110 KPE7300 MINTH 3MM DRIVE;Logotipo
31_000025353;LOGOTIPO FI-001-CT SETA KVS (3H82110);Logotipo
31_000007481;LOGOTIPO MARC. 3A-10767-CT KRM (3H26110);Logotipo
31_000012322;LOGOTIPO MARC. 3A-9931-CT (3H27110);Logotipo
31_000023248;LOGOTIPO MARC. Nº44 F1-001-CT (2H73310);Logotipo
31_000013342;LOGOTIPO MIN TH FI001CT (3H29110/3H8210);Logotipo
31_000025620;LOGOTIPO MIN. TH 3H32110-FI-001-CT;Logotipo
31_000025619;LOGOTIPO SETA 3H32110-FI-001-CT;Logotipo
31_000000376;PARAFUSO 5512.090.01;Acessórios de torno
31_000028159;PINO DO CALÇO 36X138B p/ MTLNR/L;Acessórios de torno
31_000027016;PORTA FERR. 1TN2CCR 2020 (820028782);Porta Ferramentas
31_000027753;PORTA FERR. 2SC1VN 09172987 (3H69130);Porta Ferramentas
31_000004592;PORTA FERR. MWLNL 2525 M-8;Porta Ferramentas
31_000002605;PORTA FERR. S32U SVUBL-16 82005435;Porta Ferramentas
31_000022373;PORTA FERR.MTENN2020S2XSSCR-09(820029601;Porta Ferramentas
31_000019047;PORTA FERR.S32K SSSCL 09 ( 820029009 );Porta Ferramentas
31_000013570;REBOLO ANEL 457,2x100x355,2 IPA46J128493;Abrasivos
31_000028141;REBOLO ANEL 457X100X355,6-406,2X60 C/REB;Abrasivos
31_000005603;LOGOTIPO FI-004CT Nº50 (2H27310/2H29310);Logotipo
31_000005597;LOGOTIPO MARC. Nº38 3A-9340CT (2H24310);Logotipo
31_000005963;INSERTO TPGX 090208-HTI05T (MITSUBISHI);Insertos
31_000013349;PORTA FER. MET. DURO FSTUP1412R-09E Ø12;Porta Ferramentas
31_000000309;BROCA CENTRO AR 4,0X10,0 D-333A TWILL;Rotativas
