material;descricao;categoria
31_000000279;BROCA CONICA AR 10,5MM DIN-345  TWILL;Rotativas
31_000000283;BROCA CONICA AR 14,0MM DIN-345;Rotativas
31_000000262;BROCA PARA. AR 6,0 DIN338 TWILL / DORMER;Rotativas
31_000021908;DISCO CORTE 115x1,0x22 AI ABF-4 P/ INOX;Abrasivos
31_000011072;DISCO CORTE 4.1/2''x1/8''x7/8'' ALCAR;Abrasivos
31_000011073;DISCO CORTE 7''x1/8''x7/8'' fab. ALCAR;Abrasivos
31_000000346;DISCO DE CORTE 230X2X32MM SK6AA;Abrasivos
31_000001089;"DISCO DESB.4.1/2""x1/4''x7/8'' / 115x6,4";Abrasivos
31_000006148;FRESA TOPO R216.34-10050-AK22H Ø10,0mm;Rotativas
31_000002453;REBOLO 152X19X31,75 A80N6V13 RT.;Abrasivos
31_000001837;REBOLO P.M 25x38 DR-30 C221 haste40x6,35;Abrasivos
31_000010492;SERRA CIRCULAR. 285 x 2,0 x 32 80Z;Serra e Lima
31_000028812;SERRA CIRCULAR.285 x 2,0 x 1,7 x 32 x 60;Serra e Lima
31_000000312;"SERRA FITA 1""x4-6x3,50M M-42";Serra e Lima
31_000000284;BROCA CONICA AR 15,0MM DIN-345 TWILL;Rotativas
31_000000286;BROCA CONICA AR 16,0MM DIN-345(DORMER);Rotativas
31_000001476;BROCA CONICA AR 20,0MM DIN-345;Rotativas
31_000024583-R;BROCA ESC. MD D4,20x14 (24583-AFIADA);Rotativas
31_000025541;BROCA MD Ø 14,1X65XD14X115L ALCRONA;Rotativas
31_000000258;BROCA PAR. AR  5,0 DIN338 TWILL / DORMER;Rotativas
31_000000252;BROCA PARALELA AR  3,8MM;Rotativas
31_000022676;CALÇO CT16476 WPSTN33 P/MTJNR/L;Acessórios de torno
31_000000222;CALÇO P/PORTA FERR.170.3-852;Porta Ferramentas
31_000023083;INSERTO TCMT 110208-LM MC7025;Insertos
31_000027591;INSERTO TNMG 160412 RS MP9015;Insertos
31_000028555;INSERTO TNMG 160412 UR YG3020 (YG1);Insertos
31_000000185;MACHO MAQ. M6+0,05 DIN 371;Rotativas
31_000021009;PARAFUSO CS350860T / 5513.020.09;Acessórios de torno
31_000022680;PARAFUSO PS05.050.250 (SCLS105) MTJNR/L;Acessórios de torno
31_000026789;PINO LLP 14;Acessórios de torno
31_000023719;PORTA FERR. AR15 2020 W4 CANAL LARG. 4,0;Porta Ferramentas
31_000001598;PORTA FERRAMENTA MTJNR 2020 K-16;Porta Ferramentas
31_000000254;BROCA PAR. AR 4,0 DIN338 TWILL / DORMER;Rotativas
31_000000271;BROCA PAR. AR 8,0 DIN338 TWILL / DORMER;Rotativas
31_000000255;BROCA PARALELA AR  4,1MM DIN 338;Rotativas
31_000000256;BROCA PARALELA AR  4,2MM;Rotativas
31_000000259;BROCA PARALELA AR  5,1MM DIN 338;Rotativas
31_000001088;"DISCO DESB.7""x1/4''x7/8'' / 178x6,4x22,2";Abrasivos
31_000001959;INSERTO TNGA 160408-HTI 05T;Insertos
31_000004381;INSERTO VCMW 160408 HTI10;Insertos
31_000000191;LIMA ROT. ESF.-6x5,4x4-6x50 TYROLIT;Serra e Lima
31_000012419;LIMA ROTATIVA  SKM 0613 3S Z3P;Serra e Lima
31_000000193;LIMA ROTATIVA 472.501.20;Serra e Lima
31_000018206;LOGOTIPO MARC. MÊS E ANO 2024 FI-251-CT;Logotipo
31_000000181;MACHO MAQ. HEL. M8x1,25 260/2 OX FAB.OSG;Rotativas
31_000019048;REBOLO 203,2x25,4x31,75  A60N6V13;Abrasivos
31_000002995;REBOLO P.M 13x25 DR30 C187 haste 40x6,35;Abrasivos
31_000004803;BROCA MD 5,0 mm DIN 338 C/ EX-TREME;Rotativas
31_000000277;BROCA PAR. AR  9,0 DIN338 TWILL / DORMER;Rotativas
31_000006146;FRESA FTR MD3C Ø6x20xD6x60L XTR 21260600;Rotativas
31_000006147;FRESA FTR MD4C Ø8x25xD8x80L FUT 88422074;Rotativas
31_000012811;INSERTO TNMG 160408- TF IC908;Insertos
31_000002887;INSERTO TPEN 2204 PDR F7030;Insertos
31_000028333;LOGOTIPO 39 2H44310 FI 016 CT;Logotipo
31_000000184;MACHO MAQ. M5 6H 250/1 DIN 371;Rotativas
31_000009910;REBOLO P.MONTADA  C170 DRV Haste 3,17mm;Abrasivos
31_000000249;BROCA PAR. AR 3,0MM D-338 TWIIL / DORMER;Rotativas
31_000000268;BROCA PAR. AR 6,9 DIN-338 TWILL / DORMER;Rotativas
31_000019705;INSERTO BDMT 11T308ER-JT PR1210;Insertos
31_000026021;MACHO MAQ. M10x1,25 5HX  OIL-MT ES ALTIN;Rotativas
31_000000183;MACHO MAQ. M4X0,7 116/2 ANSI  fab. OSG;Rotativas
31_000002996;REBOLO P.M 8x20 DR30 C187 haste 40x6,35;Abrasivos
31_000000240;BROCA PARALELA AR  1,5MM;Rotativas
31_000000203;"LIMA FACA M-8""  STARRET";Serra e Lima
31_000000194;LIMA MEIA CANA BASTARDA  B-6''  STARRETT;Serra e Lima
31_000028191;LOGOTIPO 006297/2019 2YA02310 FI xxx CT;Logotipo
31_000028192;LOGOTIPO 006298/2019 2YA05310 FI xxx CT;Logotipo
31_000028271;LOGOTIPO 008011/2019 INM. 32/54/55/73320;Logotipo
31_000028281;LOGOTIPO 008013/2019 INMETRO 2H37/73310;Logotipo
31_000028278;LOGOTIPO 44 2H73310 FI 008 CT;Logotipo
31_000028272;LOGOTIPO INSIDE 2H54320 FI-006 CT;Logotipo
31_000025887;LOGOTIPO MARC. FI-007 DRIVE (3H69130);Logotipo
31_000027151;LOGOTIPO MARC. MUSASHI 41 (2YA03310);Logotipo
31_000027150;LOGOTIPO MARC. Nº 40 MUSASHI (2YA05310);Logotipo
31_000028277;LOGOTIPO MUSASHI 2H24/32/54/73320;Logotipo
31_000028282;LOGOTIPO MUSASHI 2H73310 FI 009 CT;Logotipo
31_000000250;BROCA PAR. AR 3,3 DIN 338 TWILL / DORMER;Rotativas
31_000000247;BROCA PARALELA AR  2,0MM DIN-338;Rotativas
31_000000248;BROCA PARALELA AR  2,5MM DIN 338;Rotativas
31_000011476;INSERTO ROSCA INT. WT16 IR G60 WM 2020;Insertos
31_000022792;INSERTO TPGX 080208-HTI10;Insertos
31_000000189;LIMA AGULHA MEIA CANA M-140MM;Serra e Lima
31_000000202;"LIMA FACA M-6"" MURÇA C/CABO STARRET";Serra e Lima
31_000028280;LOGOTIPO 008012-2019INMETRO2H23/25/27310;Logotipo
31_000028785;LOGOTIPO 2H40/73310 DIVERSO-FI-254-CT;Logotipo
31_000013343;LOGOTIPO 3,5mm FI001CT (3H29110/3H82110);Logotipo
31_000028820;LOGOTIPO DIVERSO-FI-263-CT;Logotipo
31_000014719;LOGOTIPO GF6 14T 2H32320-FI-012-CT;Logotipo
31_000014720;LOGOTIPO INSIDE 2H32/55320;Logotipo
31_000028274;LOGOTIPO INSIDE 2H73320 FI 006 CT;Logotipo
31_000028275;LOGOTIPO KBP 15T 2H73320 FI-007 CT;Logotipo
31_000028273;LOGOTIPO KWF E1 16T 2H54320 FI-008 CT;Logotipo
31_000025413;LOGOTIPO MARC. MIN TH 3,5mm (3H69130);Logotipo
31_000027148;LOGOTIPO MARC. Nº 39T MUSASHI (2YA02310);Logotipo
31_000028666;LOGOTIPO MARCAÇÃO INMETRO 2H72320-FI-002;Logotipo
31_000028665;LOGOTIPO MARCAÇÃO K62 14T / MUSASHI;Logotipo
31_000028332;LOGOTIPO MUSASHI 2H23/25/44310;Logotipo
31_000000186;MACHO MAQ. M6 6H 250/1 DIN 371;Rotativas
31_000001670;MACHO MAQ. M8x1,25 260/1 DIN 376-OX  OSG;Rotativas
31_000002915;BROCA CENTRO AR HSCO Ø3x7,5x10x55L;Rotativas
31_000027792;BROCA CENTRO MD 2C Ø3x7,5xD10x55L S/COB;Rotativas
31_000024583;BROCA ESC. MD D4,20x14,9xD5 88424001-T3;Rotativas
31_000028158;CALÇO MD DW0198Z (P/SUPORTE MTLNR/L);Acessórios de torno
31_000009898;CHAVE TORX T20;Acessórios de torno
31_000004753;DRESSADOR SINTETI. 55º R0,5 DES:97395105;Dressadores
31_000005443;FRESA DE TOPO RETO 7226-16 Ø16,0 mm;Rotativas
31_000017962;FRESA T. MD. 4C. Ø10x10x52X95 88422080;Rotativas
31_000010732;FRESA WOOD. 13,5x2,5xR0,2;Rotativas
31_000026792;GRAMPO DE FIXAÇÃO DCK 2613;Acessórios de torno
31_000022678;GRAMPO GR002 CCK13 P/ MTJNR/L;Acessórios de torno
31_000025924;INSERTO DNMG 130504 MT TT8125B;Insertos
31_000006000;INSERTO DNMG 150604-LP MC6015;Insertos
31_000023720;INSERTO GY2M0400G040N-MM VP20RT;Insertos
31_000016864;INSERTO SCMT 09T312- MS PM 9015;Insertos
31_000012717;INSERTO TCMT 110204-SM IC908;Insertos
31_000003045;INSERTO TNMG 160404-SA UE 6105;Insertos
31_000028671;INSERTO TNMG 160412 SA MC6115;Insertos
31_000028641;INSERTO TNMG 160412N EG AC6030M;Insertos
31_000022901;INSERTO TNMG 160412-SA UE6105;Insertos
31_000008769;INSERTO VNMG 12T304-NF IC907;Insertos
31_000023736;INSERTO WNMG 080408-MA MC6015;Insertos
31_000022337;MOLA - DCS2  p/ DDJNL/R;Outros
31_000027012;PARAFUSO DE FIXAÇÃO DC 0621T;Acessórios de torno
31_000024967;PARAFUSO DO GRAMPO DLS 4  P/ THSNR/L;Acessórios de torno
31_000002831;PINO DE ACO 5313.021.02;Acessórios de torno
31_000027800;PORTA FERR. DDJNL 2525 M15;Porta Ferramentas
31_000001268;PORTA FERRAMENTA MTJNL 2525 M-16;Porta Ferramentas
31_000007332;REBOLO 406x12x127/406x12x127  DA60 GP538;Abrasivos
31_000005694;REBOLO RT 410x40x127 3SK80J6V8N GP-534;Abrasivos
31_000022880;BROCA CENTRO HSS FORM A 60 A201  2,0x6,0;Rotativas
31_000010093;BROCA ESC. MD 2C Ø3,15x9x6x90L FUT;Rotativas
31_000001647;BROCA PAR. AR 2,0 D-340 TWILL / PAVONADA;Rotativas
31_000007223;BROCHA 40 BC 50/7 C/REVESTIM. BALINIT A;Revestimentos
31_000011642;BROCHA 40 BC 50/9 REFIL;Brocha
31_000012192;CARACOL 15HE14/3;Caracol e Fell
31_000015193;CHAVE TORX  TKY08F;Acessórios de torno
31_000008850;CHAVE TORX T10/5 P/INSERTO LNMX-11;Insertos
31_000001948;CHAVE TORX T-15 5680.049-01;Acessórios de torno
31_000008855;CHAVE TORX T9/5 p/SVJNL-12;Acessórios de torno
31_000025919;CHAVE TORX TORQUIMETRO 5680.100-05 T10;Acessórios de torno
31_000025565;DISCO DE CORTE 50x2,5x10mm;Abrasivos
31_000001447;DISCO DE CORTE 65x2,5x10mm;Abrasivos
31_000026158;INSERTO CCMT 060204 WP PV720;Insertos
31_000028713;INSERTO CCMT 060204E-FF2 TT010;Insertos
31_000016111;INSERTO CCMT 060204-PF GH730 TUNGALOY;Insertos
31_000023054;INSERTO CCMT 09T304-MM MC7025;Insertos
31_000028263;INSERTO CCMT 09T308 PP PR1725;Insertos
31_000027456;INSERTO DGN 2202C IC 354;Insertos
31_000027455;INSERTO DGN 3102C IC 354;Insertos
31_000007682;INSERTO GIP 1.00-0.05 IC908;Insertos
31_000022620;INSERTO NG2M 120RK KC5025;Insertos
31_000028234;INSERTO SNMG 120408-SA UE6105;Insertos
31_000013246;INSERTO TNMG 160408 MA UE6020;Insertos
31_000013245;INSERTO TNMG 160408 SA UE6105;Insertos
31_000009799;INSERTO TNMG 160412-GH UC5115;Insertos
31_000020822;INSERTO WNMG 080408-WG IC8150;Insertos
31_000005606;LIMA FACA DIAMANTADA ELETROLITICA;Serra e Lima
31_000000200;LIMA PARALELA DIAMANTADA ELETROLITICA;Serra e Lima
31_000008851;PARAFUSO SR 14-551 P/CALÇO SVJNL-11;Acessórios de torno
31_000010331;PARAFUSO SR 16-236;Acessórios de torno
31_000027496;PARAFUSO TPS 351 P/BROCA Ø26,.mm DIFF;Rotativas
31_000006116;PARAFUSO TPS43 M4x0,7xD5,4x10 60°;Acessórios de torno
31_000015192;PARAFUSO TS25   ( MITSUBISHI );Acessórios de torno
31_000022677;PINO DO CALÇO PI36185 ( CCP33 ) p/ MTJNR;Acessórios de torno
31_000009476;PORTA FERR. A16R SCKCR-09 82 002 9776;Porta Ferramentas
31_000011513;PORTA FERR. DGFH-32-2;Porta Ferramentas
31_000007681;PORTA FERR.GHGL 20-2;Porta Ferramentas
31_000001483;PORTA FERR.S16R SCLCL-09M (07214395);Porta Ferramentas
31_000001597;PORTA FERRAMENTA MTJNL 2020 K-16;Porta Ferramentas
31_000024531;SHAVING 15 CS 14 / 2;Shaving
31_000007118;SHAVING 15 CS 14/1;Shaving
31_000012176;SUPORTE BROCHA REFIL ( 19,78x8,85x6,0 );Brocha
31_000012180;SUPORTE BROCHA REFIL ( 19,98x9,0x6,0 );Brocha
31_000008901;BROCA M.D 4,20MM;Rotativas
31_000025541-R;BROCA MD Ø 14,1X65XD14 (25541-AFIADA);Rotativas
31_000000269;BROCA PAR. AR 7,0 DIN338 TWILL / DORMER;Rotativas
31_000007543;BROCHA 40 BC50/8 C/ REVESTIM. BALINIT A;Revestimentos
31_000028554;INSERTO CCGW 060208 NU BN2000;Insertos
31_000018062;INSERTO DCMT 070204-GP PV7010;Insertos
31_000007683;INSERTO PENTA N178 J018 IC908;Insertos
31_000024231;INSERTO TCMT 110204-FV AP25N;Insertos
31_000021024;INSERTO TNGX 110308S-01020-WZ CBN010;Insertos
31_000010759;INSERTO VNMG 12T308-NF IC907;Insertos
31_000014874;INSERTO XCMT 070304-MF IC908;Insertos
31_000024968;MOLA DSP 4  P/ THSNR/L;Outros
31_000023262;PORTA FER S16R STZCL11 45° D12 07214374;Porta Ferramentas
31_000023263;PORTA FER S16R STZCR11 45° D12 (07214396;Porta Ferramentas
31_000024229;PORTA FERR. A32H SC1T2LCLR - 08183353;Porta Ferramentas
31_000020398;PORTA FERR. A32H ST1C2LCRL - 08183354;Porta Ferramentas
31_000023120;PORTA FERR.DSSNL 2020 M12;Porta Ferramentas
31_000001896;PORTA FERR.S16R SCLCR-09M (07214373);Porta Ferramentas
31_000007224;BROCHA 40 BC50/6 C/ REVESTIM. BALINIT A;Revestimentos
31_000012174;BROCHA REFIL 40BC50/11;Brocha
31_000002064;CALÇO 5322-331-07;Acessórios de torno
31_000021597;CARACOL 17HE17/1;Caracol e Fell
31_000025950;INSERTO CCMT 09T308 MK MC5015;Insertos
31_000027688;INSERTO TNGN 110308S 01525 CH0550;Insertos
31_000027777;INSERTO TNMG 130408 EM TT5080;Insertos
31_000028163;INSERTO VNMG 160408 MP MC6025;Insertos
31_000013253;INSERTO WNMG 080412 MH UE6105;Insertos
31_000028831;INSERTO WXGU040308L-HP-BXA20;Insertos
31_000005605;LIMA TRIANGULAR DIAMANTADA ELETROLITICA;Serra e Lima
31_000027014;PARAFUSO 3212 030 351(BARRA ANTI VIBRATO;Acessórios de torno
31_000028236;PARAFUSO TS43;Acessórios de torno
31_000028235;PARAFUSO TS44;Acessórios de torno
31_000002067;PINO DE ACO 5313.022.03;Acessórios de torno
31_000001887;PORTA FERR.MWLNL 2020 K-08;Porta Ferramentas
31_000001600;PORTA FERRAMENTA MTJNR 2525 M-16;Porta Ferramentas
31_000021653;SHAVING 17 CS 17/1;Shaving
31_000001377;BROCA PAR. AR 6,8 DIN338 TWILL / DORMER;Rotativas
31_000000266;BROCA PARALELA AR  6,2 mm DIN 338;Rotativas
31_000024270;CALÇO 5322-425-01 P/DSSNR/L;Acessórios de torno
31_000000227;CALÇO P/PORTA FERR. 5322.270-01;Porta Ferramentas
31_000026785;CALÇO P/PORTA FERR. SSN 43Z;Porta Ferramentas
31_000004412;CARACOL 20HE20/B;Caracol e Fell
31_000000233;GRAMPO 170.38-820;Acessórios de torno
31_000028639;INSERTO GY2M0300F080N-MM VP20RT;Insertos
31_000025838;INSERTO HNMG 050408-GU TT7015;Insertos
31_000001958;INSERTO TNGA 160404 HTI-05T (MITSUBISHI);Insertos
31_000001976;INSERTO VCMW 160404 HTI10;Insertos
31_000025808;INSERTO WNMG 06T304-MS US7020;Insertos
31_000008767;INSERTO WNMG 06T308 MP MC6015;Insertos
31_000000375;PARAFUSO 5513.020.01;Acessórios de torno
31_000024966;PARAFUSO DO CALÇO SO 4005I P/ THSNR/L;Acessórios de torno
31_000022338;PARAFUSO DO GRAMPO - DC0520T p/ DDJNL/R;Acessórios de torno
31_000024528;PORTA FER. METAL DURO C16R SCLCL-09;Porta Ferramentas
31_000007071;PORTA FERR. A16R SCKCL-09 82 002 09777;Porta Ferramentas
31_000011355;PORTA FERR. DGFH-32-3;Porta Ferramentas
31_000001509;PORTA FERR.SVJBR 2020 K-16;Porta Ferramentas
31_000027774;SHAVING 20CS20/26;Shaving
31_000001435;ALAVANCA 174.3-840M;Acessórios de torno
31_000009051;ALAVANCA LLCL 13S;Acessórios de torno
31_000025460;BROCA MD Ø 12,5X45XD12X90L FUT TOP;Rotativas
31_000000265;BROCA PARALELA AR  6,1MM;Rotativas
31_000025464;BROCHA 15 BE 11/2;Brocha
31_000025465;"BROCHA 40 BC 50/14 C/ REV. BALINIT ""A""";Brocha
31_000024969;CALÇO TSH 44 P/ THSNR/L;Acessórios de torno
31_000024962;CALÇO WST 2,52 P/ WTJNR/L;Acessórios de torno
31_000005432;FRESA TOPO ESF. Ø6x12x6x50L (23160600);Rotativas
31_000012247;INSERTO CCMT 060208  UE6110;Insertos
31_000025811;INSERTO CNGA 120408 T7 WZ AB2010;Insertos
31_000027158;INSERTO CNMG 120412-RK MC5005;Insertos
31_000025844;INSERTO GY2M0300F04N-MM VP 10RT;Insertos
31_000027207;INSERTO SOMX 094506-UM VP15TF;Insertos
31_000019913;INSERTO TNGA 160408 AB 2010;Insertos
31_000024937;INSERTO TNMG 130412-MT TT8125;Insertos
31_000025402;INSERTO TNMG 160408 MP MC6015;Insertos
31_000025638;INSERTO WNMG 080416 - RK MC5015;Insertos
31_000009052;PARAFUSO LLCS 10 5;Acessórios de torno
31_000024963;PINO DO CALÇO WSS 2052   P/ WTJNR/L;Acessórios de torno
31_000027334;PORTA F S15KSCLCR06 2G03/4/5750 09193741;Porta Ferramentas
31_000020339;PORTA FERR. A10K SCKCL-06;Porta Ferramentas
31_000021643;PORTA FERR. MD C10K SCLCL-06;Porta Ferramentas
31_000018941;PORTA FERR. MD C10K SCLCR 06;Porta Ferramentas
31_000024935;PORTA FERR. THSNR 2525 M05;Porta Ferramentas
31_000001892;PORTA FERR.S10M SCLCL-06 (82 005 00507);Porta Ferramentas
31_000001893;PORTA FERR.S10M SCLCR-06 (82.005.212);Porta Ferramentas
31_000008871;PORTA FERRAMENTA A16M PWLNL-06;Porta Ferramentas
31_000023687;BROCA ESP. 2,05x6xD4x60L  S/COBERTURA;Rotativas
31_000023019;BROCA MD Ø7,0 ( D7x69xD8x109L ) 88424063;Rotativas
31_000017910;BROCHA 19 BE 15/9;Brocha
31_000010084;BROCHA 6 BS 40/5;Brocha
31_000000124;BROCHA 6BS50/1 S/ REVESTIMENTO;Revestimentos
31_000028647;BRUNIDOR 3,5x7,1x30x1,5 B64/AZ/D/75;Brunidores
31_000020715;BRUNIDOR 3,5x8,65x29,9x2 MS025 AMAROK;Brunidores
31_000028718;BRUNIDOR 3,5x8,65x30 S AB N60202;Brunidores
31_000028524;BRUNIDOR PARA HASTE Ø10mm;Brunidores
31_000010613;BRUNIDOR SINT ( MS-20 ) 3,5x7,1x29,9x1,5;Brunidores
31_000005475;BRUNIDOR SINT. BORAZON MSØ1Ø;Brunidores
31_000010508;BRUNIDOR SINT.3,5x8,65x29,9x2 MAB G 053;Brunidores
31_000008853;CALÇO AV12 P/SVJNL-12;Acessórios de torno
31_000001526;CARACOL 17HE20/3 GH23845;Caracol e Fell
31_000027081;CARACOL 17HE20/A;Caracol e Fell
31_000011334;CARACOL 20HE20/A - 3THD CORTE A SECO;Caracol e Fell
31_000002817;CHAVE TORX BANDEIRA T6 TKYO6F;Acessórios de torno
31_000025918;CHAVE TORX TORQUIMETRO 5680.100-03 T8;Acessórios de torno
31_000022681;CUNHA CN003 CPT13 P/ MTJNR/L;Acessórios de torno
31_000005513;FELLOWS GF-18566;Caracol e Fell
31_000028142;INSERTO CCMT 09T304-LS MP 9015;Insertos
31_000022920;INSERTO CCMT 09T308 MM MC7025;Insertos
31_000026704;INSERTO GDM 2013N 020GMI PR1535;Insertos
31_000005662;INSERTO GRIP 3003Y IC354 ISCAR;Insertos
31_000007354;INSERTO GRIP 476.08OY IC354;Insertos
31_000012246;INSERTO GRIP 5025Y IC908  ISCAR;Insertos
31_000023959;INSERTO GY2M0400G020N-MM VP20RT;Insertos
31_000023789;INSERTO GY2M0400G080N-MM VP20RT;Insertos
31_000002942;INSERTO TCMT 110202 US735;Insertos
31_000005471;INSERTO TGMF 402 IC354 - ISCAR;Insertos
31_000013248;INSERTO TPMH 080204 MV UE6020;Insertos
31_000023009;INSERTO VBMT 160404-UE 6110;Insertos
31_000025284;INSERTO VBMT 160408 MP MC6015;Insertos
31_003102901;MOLA 9-1204-26 MDL;Outros
31_003103079;MOLA MDL 9-1004-21;Outros
31_003103076;MOLA MDL 9-1205-11;Outros
31_000022679;MOLA MOLO1 ( MES2 ) p/ MTJNR/L;Outros
31_000026787;PARAFUSO TS2D M2x4xD3,8x5,3 82°;Acessórios de torno
31_000013364;PINO - PA12;Acessórios de torno
31_000013351;PORTA FER. METAL DURO FSTUP1008R-08E Ø8;Porta Ferramentas
31_000015401;PORTA FERR. A16R SSKCL-09 (820050623);Porta Ferramentas
31_000023956;PORTA FERR. AL15 2020 W4 CANAL LARG. 4,0;Porta Ferramentas
31_000010266;PORTA FERR. GEHIR 16-13-3;Porta Ferramentas
31_000025282;PORTA FERR. LGY 20-30/53-4T08FD;Porta Ferramentas
31_000025283;PORTA FERR. RGY 20-30/53-4T08FD;Porta Ferramentas
31_000023544;PORTA FERR. S16R-SCUCL-06 8200209429;Porta Ferramentas
31_000001324;PORTA FERR.S12M STFCL-11 82 005 101;Porta Ferramentas
31_000001939;PORTA FERR.S25T SVJBL-16;Porta Ferramentas
31_000001940;PORTA FERR.S25T SVJBR-16;Porta Ferramentas
31_000001925;PORTA FERR.SVJBL 2020 K-16;Porta Ferramentas
31_000008771;PORTA FERR.SVJNL 2020K-12F;Porta Ferramentas
31_000015184;PORTA FERR.SVJNR 2020K-12F;Porta Ferramentas
31_000010498;SHAVING 17 CS 20/6  ( DT-8436/05 );Shaving
31_000011887;SHAVING 17 CS 20/9  DT 8663/06 (PEÇA);Shaving
31_000024336;SHAVING 20 CS 20/17;Shaving
31_000027106;SHAVING 20 CS 20/55;Shaving
31_000025274;SHAVING 20CS20/18;Shaving
31_000028640;BRUNIDOR 3,5x8,9X32 B64/D/75;Brunidores
31_000005476;BRUNIDOR SINT. BORAZON MSØ12;Brunidores
31_000012225;BRUNIDOR SINT.2,3x7,4x29,9x1,5 MS-020;Brunidores
31_000018312;CARACOL 30HC63/3;Caracol e Fell
31_003104476;HASTE DE BRUNIR PARA FURO DE 23MM;Brunidores
31_000000307;BROCA CENTRO AR 2,5X6,3 D333A TWILL;Rotativas
31_000023582;BROCA MD D9x81xD10x125L DIN 338 FUT TOP;Rotativas
31_000000257;BROCA PARALELA AR  4,5MM DIN 338;Rotativas
31_000004881;CALÇO P/ PORTA FERR. SUP-32;Porta Ferramentas
31_000026786;CALÇO P/PORTA FERR. LLSDN 43;Porta Ferramentas
31_000022318;CALÇO P/PORTA FERR. MB 11138 P/TNGX;Porta Ferramentas
31_000020972;CARACOL 20HE20/17;Caracol e Fell
31_000023293;CARACOL 20HE20/18 CR1G039339;Caracol e Fell
31_003096860;ESCOVA P/REBARBAR Ref. 022286-9907 D150;Outros
31_000019175;GRAMPO 172.9.826.1 (P/INSERTO TNGX);Insertos
31_000001870;GRAMPO 174.9.830-1;Acessórios de torno
31_000019173;GRAMPO CKM 07 (P/INSERTO TNGX);Insertos
31_000024961;GRAMPO WC2,53 P/ WTJNR/L;Acessórios de torno
31_000028636;INSERTO SOMX094506-UM VP15TF;Insertos
31_000027604;INSERTO TCD 114 P TT 9080 Ø 11,4;Insertos
31_000021024-R;INSERTO TNGX 11030 CBN060 (21024-AFIADA);Insertos
31_000018365;INSERTO TNGX 110308S-01525-WZ CBN060;Insertos
31_003013745;INSERTO TNMG 160408E-SM T9325;Insertos
31_000024808;INSERTO TPMH 080204 - SV NX2525;Insertos
31_000012245;INSERTO VCGT 160404-AZ  HTI10;Insertos
31_000027221;INSERTO VNMG 160404 MA UC5115;Insertos
31_000004103;INSERTO WCMT 020104-AP25N;Insertos
31_000016671;INSERTO XCMT 060204-MF IC908;Insertos
31_000002972;PARAFUSO - 5513-020-28;Acessórios de torno
31_000024964;PARAFUSO DO GRAMPO WCS 2,5  P/ WTJNR/L;Acessórios de torno
31_000010057;PARAFUSO SR 117-2014;Acessórios de torno
31_000019174;PARAFUSO STCM 09 ( P/ INSERTO TNGX );Insertos
31_000024603;PARAFUSO TPS3  ( MITSUBISHI );Acessórios de torno
31_000024820;PORTA FER S23KSCLCLR-06 2F03741 09151861;Porta Ferramentas
31_000019050;PORTA FER. MD. C12M SCLCR-06 14011001468;Porta Ferramentas
31_000019828;PORTA FER. METAL DURO. C12M SCLCL-06;Porta Ferramentas
31_000014727;PORTA FERR.  MTENN 2020 K16;Porta Ferramentas
31_000013254;PORTA FERR. FSTUP 1008R-08S;Porta Ferramentas
31_000005670;PORTA FERR. HELIL 2020-4T12  ISCAR;Porta Ferramentas
31_000005669;PORTA FERR. HELIR 2020-5T12  ISCAR;Porta Ferramentas
31_000001568;PORTA FERR.400.001.313 ESQ.;Porta Ferramentas
31_000001596;PORTA FERR.400.001.440 DIR.;Porta Ferramentas
31_000008872;PORTA FERR.A16M PWLNR-06;Porta Ferramentas
31_000001178;PORTA FERR.PTFNL 2020 K-16;Porta Ferramentas
31_000001246;PORTA FERR.S32U SVQBL-16;Porta Ferramentas
31_000000319;REBOLO 500X50,8X203,2 AA60N6V15 T20;Abrasivos
31_000019602;BROCA ESC. MD Ø D2x8xD6x60L S/ REV.;Rotativas
31_000023582-R;BROCA MD D9x81xD10 (23582-AFIADA);Rotativas
31_000027603;BROCA TCD 110 - 114 16T3 - 3D Ø 11,4;Rotativas
31_000028481;CARACOL 10HE20/3;Caracol e Fell
31_000001931;CARACOL 20HE20/12 GH23844;Caracol e Fell
31_000004558;FELLOWS GF-18072;Caracol e Fell
31_000000198;"LIMA REDONDA  B-10""  STARRETT";Serra e Lima
31_000001436;PARAFUSO 174.3.820M;Acessórios de torno
31_000023958;PORTA FERR. AL152525W4 CANAL LARG. 4,0;Porta Ferramentas
31_000023957;PORTA FERR. AR152525W4 CANAL LARG. 4,0;Porta Ferramentas
31_000005698;PORTA FERR. E08K SWUBR-06 ISCAR;Porta Ferramentas
31_000004107;PORTA FERR. FSWL 108-LS;Porta Ferramentas
31_000025261;PORTA FERR. LGY2525-3T10;Porta Ferramentas
31_000001995;PORTA FERR. SVJCL 2525-16;Porta Ferramentas
31_000028788;PORTA FERR.S0812J SWUBL-06 (ISCAR);Porta Ferramentas
31_000007172;PORTA FERR.S0812J SWUBR-06 (ISCAR);Porta Ferramentas
31_000013900;BROCA MD.2C D6,28x44xD8X80L 88424043 FUT;Rotativas
31_000018025;BROCHA 6 BS 50/5 C/ REVESTIM. BALINIT A;Revestimentos
31_000000088;CARACOL 102HC159/1;Caracol e Fell
31_000001170;CARACOL 85HC127/11;Caracol e Fell
31_000027193;INSERTO CCMT 060202 PF IC907;Insertos
